eid_119|-80|-70|-60|-50
eid_120|-70|-60|-60|-50
eid_121|-60|-50|-60|-50
eid_123|-40|-30|-60|-50
eid_134|70|80|-60|-50
eid_155|-80|-70|-50|-40
eid_156|-70|-60|-50|-40
eid_161|-20|-10|-50|-40
eid_162|-10|0|-50|-40
eid_168|50|60|-50|-40
eid_169|60|70|-50|-40
eid_170|70|80|-50|-40
eid_177|140|150|-50|-40
eid_179|160|170|-50|-40
eid_180|170|180|-50|-40
eid_191|-80|-70|-40|-30
eid_192|-70|-60|-40|-30
eid_193|-60|-50|-40|-30
eid_197|-20|-10|-40|-30
eid_200|10|20|-40|-30
eid_201|20|30|-40|-30
eid_202|30|40|-40|-30
eid_210|110|120|-40|-30
eid_211|120|130|-40|-30
eid_212|130|140|-40|-30
eid_213|140|150|-40|-30
eid_214|150|160|-40|-30
eid_216|170|180|-40|-30
eid_217|-180|-170|-30|-20
eid_219|-160|-150|-30|-20
eid_220|-150|-140|-30|-20
eid_221|-140|-130|-30|-20
eid_222|-130|-120|-30|-20
eid_227|-80|-70|-30|-20
eid_228|-70|-60|-30|-20
eid_229|-60|-50|-30|-20
eid_230|-50|-40|-30|-20
eid_236|10|20|-30|-20
eid_237|20|30|-30|-20
eid_238|30|40|-30|-20
eid_239|40|50|-30|-20
eid_240|50|60|-30|-20
eid_246|110|120|-30|-20
eid_247|120|130|-30|-20
eid_248|130|140|-30|-20
eid_249|140|150|-30|-20
eid_250|150|160|-30|-20
eid_251|160|170|-30|-20
eid_252|170|180|-30|-20
eid_253|-180|-170|-20|-10
eid_254|-170|-160|-20|-10
eid_255|-160|-150|-20|-10
eid_256|-150|-140|-20|-10
eid_257|-140|-130|-20|-10
eid_263|-80|-70|-20|-10
eid_264|-70|-60|-20|-10
eid_265|-60|-50|-20|-10
eid_266|-50|-40|-20|-10
eid_267|-40|-30|-20|-10
eid_270|-10|0|-20|-10
eid_272|10|20|-20|-10
eid_273|20|30|-20|-10
eid_274|30|40|-20|-10
eid_275|40|50|-20|-10
eid_276|50|60|-20|-10
eid_277|60|70|-20|-10
eid_280|90|100|-20|-10
eid_281|100|110|-20|-10
eid_282|110|120|-20|-10
eid_283|120|130|-20|-10
eid_284|130|140|-20|-10
eid_285|140|150|-20|-10
eid_286|150|160|-20|-10
eid_287|160|170|-20|-10
eid_288|170|180|-20|-10
eid_289|-180|-170|-10|0
eid_290|-170|-160|-10|0
eid_291|-160|-150|-10|0
eid_292|-150|-140|-10|0
eid_293|-140|-130|-10|0
eid_297|-100|-90|-10|0
eid_298|-90|-80|-10|0
eid_299|-80|-70|-10|0
eid_300|-70|-60|-10|0
eid_301|-60|-50|-10|0
eid_302|-50|-40|-10|0
eid_303|-40|-30|-10|0
eid_305|-20|-10|-10|0
eid_307|0|10|-10|0
eid_308|10|20|-10|0
eid_309|20|30|-10|0
eid_310|30|40|-10|0
eid_311|40|50|-10|0
eid_312|50|60|-10|0
eid_314|70|80|-10|0
eid_316|90|100|-10|0
eid_317|100|110|-10|0
eid_318|110|120|-10|0
eid_319|120|130|-10|0
eid_320|130|140|-10|0
eid_321|140|150|-10|0
eid_322|150|160|-10|0
eid_323|160|170|-10|0
eid_324|170|180|-10|0
eid_326|-170|-160|0|10
eid_327|-160|-150|0|10
eid_333|-100|-90|0|10
eid_334|-90|-80|0|10
eid_335|-80|-70|0|10
eid_336|-70|-60|0|10
eid_337|-60|-50|0|10
eid_338|-50|-40|0|10
eid_341|-20|-10|0|10
eid_342|-10|0|0|10
eid_343|0|10|0|10
eid_344|10|20|0|10
eid_345|20|30|0|10
eid_346|30|40|0|10
eid_347|40|50|0|10
eid_348|50|60|0|10
eid_350|70|80|0|10
eid_351|80|90|0|10
eid_352|90|100|0|10
eid_353|100|110|0|10
eid_354|110|120|0|10
eid_355|120|130|0|10
eid_356|130|140|0|10
eid_357|140|150|0|10
eid_358|150|160|0|10
eid_359|160|170|0|10
eid_360|170|180|0|10
eid_362|-170|-160|10|20
eid_363|-160|-150|10|20
eid_368|-110|-100|10|20
eid_369|-100|-90|10|20
eid_370|-90|-80|10|20
eid_371|-80|-70|10|20
eid_372|-70|-60|10|20
eid_373|-60|-50|10|20
eid_376|-30|-20|10|20
eid_377|-20|-10|10|20
eid_378|-10|0|10|20
eid_379|0|10|10|20
eid_380|10|20|10|20
eid_381|20|30|10|20
eid_382|30|40|10|20
eid_383|40|50|10|20
eid_384|50|60|10|20
eid_386|70|80|10|20
eid_387|80|90|10|20
eid_388|90|100|10|20
eid_389|100|110|10|20
eid_390|110|120|10|20
eid_391|120|130|10|20
eid_392|130|140|10|20
eid_393|140|150|10|20
eid_395|160|170|10|20
eid_396|170|180|10|20
eid_397|-180|-170|20|30
eid_399|-160|-150|20|30
eid_403|-120|-110|20|30
eid_404|-110|-100|20|30
eid_405|-100|-90|20|30
